ranking,World Rank,University,Det.,Presence Rank*,Impact Rank*,Openness Rank*,Excellence Rank*
340,1411,University of the Pacific,,3202,1161,1638,1947
341,1412,Claremont Graduate University,,6370,1303,594,2044
342,1416,Kenyon College,,2596,634,1868,2563
343,1418,Syracuse University,,9706,1057,11401,559
344,1421,(3) University of Minnesota Duluth,,1915,2500,770,1503
345,1425,Seattle University,,3026,858,1349,2357
346,1425,Bard College,,2186,657,1658,2589
347,1429,Pomona College,,3013,811,1878,2303
348,1446,University of Wisconsin Eau Claire,,3524,732,1204,2589
349,1467,Eastern Kentucky University,,2097,705,2444,2486
350,1472,Elon University,,2493,747,2231,2468
351,1479,Manhattan College,,6844,2522,2224,1257
352,1487,Reed College,,2909,746,1640,2599
353,1493,Pepperdine University,,2700,612,2134,2752
354,1495,(3) Southern Illinois University School of Medicine,,7025,2086,1611,1515
355,1496,Macalester College,,2620,898,1537,2486
356,1496,(3) University of Maryland Center for Environmental Science,,4173,2406,659,1667
357,1501,Calvin College,,2402,465,2319,2966
358,1504,Ithaca College,,1422,677,1639,2794
359,1507,University of Wisconsin Whitewater,,2760,936,1664,2428
360,1509,Loyola University Maryland,,4183,1090,1449,2248
361,1518,Indiana University of Pennsylvania,,1966,855,1555,2599
362,1522,Central Washington University,,869,962,2170,2468
363,1524,West Chester University of Pennsylvania,,3563,1111,1695,2241
364,1529,Adelphi University,,1961,1156,1203,2383
365,1531,CUNY Hunter College,,1802,5508,584,1001
366,1541,Gonzaga University,,4287,618,2050,2803
367,1543,State University of New York at New Paltz,,3043,1218,1759,2226
368,1551,Florida Gulf Coast University,,2620,1016,1461,2533
369,1551,City College of New York CUNY,,3094,7836,320,780
370,1560,(3) University of Florida Health,,2844,2133,11401,474
371,1565,Franklin & Marshall College,,5069,1245,1597,2203
372,1566,California State University San Marcos,,3551,983,2088,2428
373,1570,Eastern Virginia Medical School,,6700,3246,1656,1280
374,1572,University of Northern Colorado,,3826,1222,1630,2277
375,1574,Jackson State University,,5984,2296,1205,1707
376,1585,Tennessee Technological University,,3101,1250,2325,2185
377,1592,Simmons College,,2343,992,2585,2449
378,1593,Western Illinois University,,2295,912,2221,2599
379,1596,Utah Valley University,,3634,1395,2732,2033
380,1596,University of West Florida,,3239,1014,1539,2589
381,1599,California State University San Bernardino,,3061,975,1533,2632
382,1607,Texas A&M University Corpus Christi,,2447,1320,1763,2303
383,1609,New York Institute of Technology,,4843,1389,1329,2267
384,1609,Hobart and William Smith Colleges,,2719,1067,2045,2449
385,1612,Lafayette College,,2484,1150,1826,2428
386,1614,Chicago State University,,7318,1192,3598,2009
387,1620,University of Wisconsin la Crosse,,3451,1004,2324,2486
388,1621,South Dakota School of Mines & Technology,,5226,2042,1674,1821
389,1621,Dickinson College,,1599,831,2808,2683
390,1623,Skidmore College,,2773,922,2645,2563
391,1627,Trinity College,,2111,769,2114,2835
392,1630,Furman University,,2683,824,2269,2735
393,1632,Delaware State University,,8635,1871,3158,1648
394,1634,Youngstown State University,,3239,1379,2119,2219
395,1645,California Polytechnic State University Cal Poly Pomona,,1310,1832,1491,2140
396,1650,Gettysburg College,,2799,915,1954,2716
397,1669,College of the Holy Cross,,2878,1034,1635,2683
398,1671,University of Wisconsin Oshkosh,,2272,1043,2342,2579
399,1675,Catholic University of America,,6118,1588,7175,1403
400,1678,Weber State University,,2931,924,1286,2899
401,1685,Western Carolina University,,3293,1059,1940,2599
402,1697,Grinnell College,,2391,726,2804,2921
403,1712,Hamilton College,,2739,820,2125,2921
404,1717,Florida Agricultural & Mechanical University,,3608,1416,2214,2319
405,1724,Eastern Illinois University,,2111,948,2507,2794
406,1739,Butler University,,2240,895,2239,2921
407,1742,Monmouth University,,3399,870,2438,2858
408,1742,Morgan State University,,6628,2056,972,2175
409,1749,Purdue University Northwest,,4218,4538,2440,1167
410,1753,Bates College,,2460,966,2289,2858
411,1753,Hope College,,1080,1120,1580,2899
412,1759,Bradley University,,4525,980,1264,3004
413,1759,California State University East Bay,,2752,1431,1919,2502
414,1781,Liberty University,,1521,325,3867,3735
415,1781,Andrews University,,2719,1079,2749,2692
416,1784,Northern Kentucky University,,3113,1116,2449,2692
417,1795,Arkansas State University,,3013,1209,2322,2649
418,1805,Willamette University,,3537,979,1441,3081
419,1817,Saint Joseph's University,,3284,1275,2204,2649
420,1817,Occidental College,,3797,1108,1937,2815
421,1820,Saint Olaf College,,2097,840,2340,3150
422,1822,Abilene Christian University,,2606,1333,3724,2428
423,1837,Wheaton College Illinois,,3399,914,3613,2835
424,1842,California State University Dominguez Hills,,4120,781,1518,3332
425,1849,Whitman College,,2902,1310,2380,2683
426,1854,State University of New York at Oswego,,1955,725,1843,3482
427,1860,Claremont Mckenna College,,4854,1975,908,2542
428,1864,University of Baltimore,,3518,905,1882,3198
429,1873,Rosalind Franklin University of Medicine and Science,,14072,3498,891,1787
430,1874,University of Central Arkansas,,3508,1074,1866,3004
431,1874,Colorado College,,2978,1096,1999,2986
432,1878,University of Evansville,,4729,834,2524,3150
433,1881,Rose Hulman Institute of Technology,,2812,1173,1903,2943
434,1883,University of West Georgia,,3627,933,2357,3124
435,1885,Fairleigh Dickinson University,,6468,1020,2122,2986
436,1888,Widener University,,5133,1118,2351,2858
437,1888,Siena College,,5904,1535,2111,2551
438,1890,Texas A&M University Kingsville,,4967,1988,2349,2267
439,1891,La Salle University,,3840,1710,2631,2418
440,1892,Davidson College,,4940,745,2606,3275
441,1892,Rider University,,4413,1215,1731,2921
442,1898,Connecticut College,,3914,1028,2056,3081
443,1899,CUNY Queens College,,2470,6914,760,1280
444,1901,Seattle Pacific University,,2812,1423,2404,2716
445,1904,William Paterson University of New Jersey,,4081,1611,1819,2632
446,1905,Rollins College,,4007,1181,1528,3058
447,1906,Lewis & Clark College,,2278,779,1549,3591
448,1917,Xavier University of Cincinnati,,4025,1425,2167,2765
449,1920,University of Hawaii System,,6,55,151,6033
450,1922,(4) Walden University (National Technological University),,2918,1213,1800,3058
451,1922,Buffalo State SUNY,,2452,770,2152,3522
452,1927,Central Connecticut State University,,3284,1017,1416,3332
453,1939,Tennessee State University,,5696,1870,1829,2542
454,1947,Stetson University,,3419,841,2266,3414
455,1954,Purdue University Fort Wayne,,3721,1979,3176,2344
456,1954,Texas Woman's University,,3451,1515,2129,2782
457,1958,Radford University,,2754,930,2312,3332
458,1960,Valparaiso University,,3399,1117,3168,2966
459,1966,University of Tampa,,7736,1978,1280,2599
460,1971,University of Wisconsin Green Bay,,2857,756,2712,3522
461,1973,Western University of Health Sciences,,7438,2974,2176,1998
462,1984,Loyola University New Orleans,,3374,1025,2686,3198
463,1986,Southern University and A&M College,,8764,2954,2466,1973
464,1995,High Point University,,4204,1711,2064,2692
465,1999,Midwestern University,,9439,3572,1584,1905
466,2005,Southern Connecticut State University,,2719,1761,2622,2662
467,2009,University of New Haven,,5259,1439,2022,2899
468,2011,Union College Schenectady NY,,2971,1022,2062,3381
469,2016,Hampshire College,,4707,1165,2546,3081
470,2030,Azusa Pacific University,,3718,1364,2923,2921
