ranking,World Rank,University,Det.,Presence Rank*,Impact Rank*,Openness Rank*,Excellence Rank*
1312,10071,Guizhou Light Industry Technical College / 贵州轻工职业技术学院,,10422,7129,11401,6033
1313,10071,Shanghai Zhongqiao College / 上海中侨职业技术学院,,13413,6950,11401,6033
1314,10090,(1) Xiamen Donghai Institute / 厦门东海职业技术学院,,10199,7184,11401,6033
1315,10090,Yingkou Vocational & Technical College / 营口职业技术学院,,17915,6629,11401,6033
1316,10090,Shandong Xiehe University /山东协和学院,,6700,7415,11401,6033
1317,10099,Sichuan Vocational College of Art / 四川艺术职业学院,,12207,7058,11401,6033
1318,10107,Guizhou Aerospace Vocational and Technical College / 贵州航天职业技术学院,,8081,7338,11401,6033
1319,10107,Dalian University of Finance and Economics / 大连财经学院,,10791,7159,11401,6033
1320,10115,Zhengzhou Professional Technical Institute of Electronics & Information / 郑州电子信息职业技术学院,,14649,6923,11401,6033
1321,10118,(3) Hohai University Wentian College / 河海大学文天学院,,6494,7490,11401,6033
1322,10131,Guangdong Polytechnic of Water Resources and Electric Engineering / 广东水利电力职业技术学院,,9689,7272,11401,6033
1323,10131,Ningxia Construction Vocational & Technical College / 宁夏建设职业技术学院,,12519,7082,11401,6033
1324,10142,Fushun Vocational Technical Institute / 抚顺职业技术学院,,13200,7054,11401,6033
1325,10142,Xiamen Academy for Performing Arts / 厦门演艺职业学院,,19790,6541,11401,6033
1326,10142,Anhui Audit College / 安徽审计职业学院,,14280,6979,11401,6033
1327,10160,Hebei Vocational College for Correctional Police / 河北司法警官职业学院,,16696,6835,11401,6033
1328,10160,(1) Minjiang Teachers College / 闽江师范高等专科学校,,15723,6907,11401,6033
1329,10160,Beijing Opera Art's College / 北京戏曲艺术职业学院,,17949,6722,11401,6033
1330,10160,Chongqing College of Finance and Economics / 重庆财经职业学院,,10934,7226,11401,6033
1331,10171,Hubei Science and Technology College / 湖北科技职业学院,,21948,6370,11401,6033
1332,10178,Guangdong Justice Police Vocational College / 广东司法警官职业学院,,17405,6809,11401,6033
1333,10184,Sichuan Modern Vocational College / 四川现代职业学院,,12875,7135,11401,6033
1334,10193,Yunnan Vocational College of Culture and Art / 云南文化艺术职业学院,,15151,6988,11401,6033
1335,10201,Anhui Post and Telecommunication College / 安徽邮电职业技术学院,,16006,6945,11401,6033
1336,10201,Liaoning Police College / 辽宁警察学院,,17462,6837,11401,6033
1337,10209,Songyuan Vocational & Technical College / 松原职业技术学院,,16858,6899,11401,6033
1338,10209,Shanghai Lida Polytechnic Institute / 上海立达职业技术学院,,9859,7362,11401,6033
1339,10220,Chuxiong Medical and Pharmaceutical College / 楚雄医药高等专科学校,,13472,7152,11401,6033
1340,10220,Fuzhou Software Technology Vocational College / 福州软件职业技术学院,,12312,7227,11401,6033
