Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2017);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Categories
1141;5700162364;"Journal of European Integration";journal;"14772280, 07036337";1,129;Q1;23;64;152;2648;266;146;1,44;41,38;United Kingdom;"Routledge";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
1142;19295;"Gender, Work and Organization";journal;"14680432, 09686673";1,129;Q1;59;57;116;2824;265;114;1,88;49,54;United Kingdom;"Blackwell Publishing Inc.";"Gender Studies (Q1); Organizational Behavior and Human Resource Management (Q1)"
1143;26252;"Maritime Policy and Management";journal;"03088839";1,129;Q1;47;71;156;2948;410;149;2,57;41,52;United Kingdom;"Taylor & Francis";"Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1); Ocean Engineering (Q1); Transportation (Q1)"
1144;19686;"Epidemiology and Infection";journal;"14694409, 09502688";1,128;Q2;95;387;1150;10412;2129;1101;1,95;26,90;United Kingdom;"Cambridge University Press";"Epidemiology (Q2); Infectious Diseases (Q2)"
1145;21100469641;"BMJ Open Diabetes Research and Care";journal;"20524897";1,128;Q2;10;72;118;2337;282;117;2,41;32,46;United Kingdom;"BMJ Publishing Group";"Endocrinology, Diabetes and Metabolism (Q2)"
1146;20934;"Sport, Education and Society";journal;"13573322";1,128;Q1;50;114;225;3346;488;196;2,21;29,35;United Kingdom;"Carfax Publishing Ltd.";"Education (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)"
1147;21100468963;"Environmental Science: Water Research and Technology";journal;"20531400, 20531419";1,127;Q1;15;98;186;6176;634;179;3,54;63,02;United Kingdom;"Royal Society of Chemistry";"Environmental Engineering (Q1); Water Science and Technology (Q1)"
1148;21090;"Journal of Sports Sciences";journal;"02640414, 1466447X";1,127;Q1;109;352;799;11941;2005;769;2,34;33,92;United Kingdom;"Taylor & Francis";"Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q2)"
1149;24813;"Experimental Dermatology";journal;"09066705, 16000625";1,126;Q1;82;254;772;7935;1782;488;3,71;31,24;United Kingdom;"Blackwell Publishing Inc.";"Dermatology (Q1); Biochemistry (Q2); Molecular Biology (Q2)"
1150;13941;"Journal of Vertebrate Paleontology";journal;"02724634";1,125;Q1;68;112;371;7984;761;363;1,97;71,29;United Kingdom;"Taylor & Francis";"Paleontology (Q1)"
1151;21100398001;"Bone Research";journal;"20956231, 20954700";1,124;Q1;22;31;65;2545;704;64;12,56;82,10;United Kingdom;"Nature Publishing Group";"Histology (Q1); Endocrinology, Diabetes and Metabolism (Q2); Physiology (Q2)"
1152;14236;"Culture, Health and Sexuality";journal;"13691058, 14645351";1,123;Q1;49;153;293;4447;572;283;1,79;29,07;United Kingdom;"Taylor & Francis";"Health (social science) (Q1); Public Health, Environmental and Occupational Health (Q1)"
1153;30088;"Journal of Social Issues";journal;"00224537, 15404560";1,123;Q1;103;47;145;2484;429;139;2,42;52,85;United Kingdom;"Blackwell Publishing Inc.";"Social Sciences (miscellaneous) (Q1)"
1154;25776;"Quaternary International";journal;"10406182";1,123;Q1;86;668;2179;29412;4207;1926;2,02;44,03;United Kingdom;"Elsevier Ltd.";"Earth-Surface Processes (Q1)"
1155;27623;"Journal of Perinatology";journal;"07438346";1,122;Q1;78;277;721;7521;1451;636;2,17;27,15;United Kingdom;"Nature Publishing Group";"Obstetrics and Gynecology (Q1); Pediatrics, Perinatology and Child Health (Q1)"
1156;5800207375;"European Journal of Sport Science";journal;"17461391";1,122;Q1;34;153;424;5183;1081;414;2,31;33,88;United Kingdom;"Taylor & Francis";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q2)"
1157;27997;"Public Health Nutrition";journal;"13689800, 14752727";1,122;Q1;117;369;1086;15211;2476;1020;2,21;41,22;United Kingdom;"Cambridge University Press";"Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1); Nutrition and Dietetics (Q2)"
1158;6500153129;"Cambridge Archaeological Journal";journal;"14740540, 09597743";1,121;Q1;39;43;117;3074;170;111;1,40;71,49;United Kingdom;"Cambridge University Press";"Archeology (Q1); Archeology (arts and humanities) (Q1); Cultural Studies (Q1)"
1159;23358;"BMC Neuroscience";journal;"14712202";1,120;Q2;83;79;323;3929;789;316;2,16;49,73;United Kingdom;"BioMed Central";"Neuroscience (miscellaneous) (Q2); Cellular and Molecular Neuroscience (Q3)"
1160;13867;"Eye";journal;"14765454, 0950222X";1,120;Q1;81;447;982;7510;1488;668;2,05;16,80;United Kingdom;"Nature Publishing Group";"Arts and Humanities (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Ophthalmology (Q1); Sensory Systems (Q2)"
1161;21100229837;"Environmental Sciences: Processes and Impacts";journal;"20507887, 20507895";1,118;Q1;76;139;635;6413;1793;608;2,48;46,14;United Kingdom;"Royal Society of Chemistry";"Management, Monitoring, Policy and Law (Q1); Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1); Environmental Chemistry (Q2)"
1162;13250;"Expert Opinion on Biological Therapy";journal;"14712598";1,117;Q1;73;151;488;12513;1485;461;3,60;82,87;United Kingdom;"Taylor & Francis";"Clinical Biochemistry (Q1); Drug Discovery (Q1); Pharmacology (Q2)"
1163;20146;"Industrial Relations";journal;"00198676, 1468232X";1,117;Q1;48;23;81;1059;106;79;1,15;46,04;United Kingdom;"Blackwell Publishing Inc.";"Industrial Relations (Q1); Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)"
1164;13152;"Surgical Oncology Clinics of North America";journal;"10553207";1,116;Q1;51;62;183;2991;457;150;3,33;48,24;United Kingdom;"W. B. Saunders Co., Ltd.";"Surgery (Q1); Oncology (Q2)"
1165;26991;"International Journal of Hydrogen Energy";journal;"03603199";1,116;Q1;173;3091;6705;129156;27353;6586;4,13;41,78;United Kingdom;"Elsevier Ltd.";"Condensed Matter Physics (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Renewable Energy, Sustainability and the Environment (Q2)"
