World Rank;University;Det.;Presence Rank*;Impact Rank*;Openness Rank*;Excellence Rank*
545;Pusan National University (Miryang) / 부산대학교;;895;911;558;485
546;Karl Franzens Universität Graz;;713;535;732;679
547;Martin Luther Universität Halle Wittenberg;;748;654;796;589
548;(3) University of Kansas Medical Center;;2909;752;432;526
548;Nanjing Agricultural University / 南京农业大学;;1497;809;457;522
548;National University of Ireland NUI Galway;;1171;812;445;532
551;Northern Arizona University;;1007;304;353;1007
552;University of Tampere / Tampereen yliopisto;;551;649;602;645
553;Università degli Studi di Siena;;1198;896;441;509
553;Universidade Federal do Paraná;;30;574;738;817
555;Western Sydney University;;1574;958;637;449
556;Fordham University;;1417;161;824;1197
557;University of Ioannina;;1608;622;677;626
558;Universiti Teknologi Malaysia;;225;1285;670;389
559;Universität Bayreuth;;977;640;640;651
560;Tehran University of Medical Sciences;;211;1283;362;447
561;East Carolina University;;372;454;688;834
562;Nanjing University of Science & Technology / 南京理工大学;;1961;950;862;422
563;University of Akron;;1876;498;620;739
564;National Research University Higher School of Economics / Национальный исследовательский университет Высшая школа экономики;;211;403;327;1032
565;New Jersey Institute of Technology;;2025;460;359;838
566;Hefei University of Technology / 合肥工业大学;;1715;615;1363;569
566;Université de Fribourg / Universität Freiburg;;599;697;316;710
568;Université de Lorraine;;475;1091;616;463
569;San Francisco State University;;1374;231;932;1051
570;Florida Atlantic University;;1293;394;380;934
571;China University of Mining & Technology / 中国矿业大学;;1171;848;1479;443
572;Swansea University;;2773;881;385;529
